text,pos,definition
tv,noun,"An electronic communication medium that allows the transmission of real-time visual images, and often sound."
tv,noun,A device for receiving television signals and displaying them in visual form.
tv,noun,"Collectively, the programs broadcast via the medium of television."
tv,noun,Vision at a distance.
tv,noun,The amount of air breathed in or out during normal respiration.
tv,noun,A person who sometimes wears clothes traditionally worn by and associated with the opposite sex; typically a male who cross-dresses occasionally by habit or personal choice.
tv,noun,"A person, typically a heterosexual male, who compulsively seeks and derives paraphilic sexual arousal from cross-dressing, especially if the urges and behavior cause the patient distress or social impairment."
typically,adverb,In a typical or common manner.
typically,adverb,In an expected or customary manner.
unbelievable,adjective,Not to be believed.
unbelievable,adjective,Incredible; so surprising it is almost unable to believe.
unbelievable,adjective,Implausible or improbable.
undoubtedly,adverb,Without doubt; definitely.
unemployment,noun,The state of having no job; joblessness.
unemployment,noun,The phenomenon of joblessness in an economy.
unemployment,noun,"The level of joblessness in an economy, often measured as a percentage of the workforce."
unemployment,noun,A type of joblessness due to a particular economic mechanism.
unemployment,noun,An instance or period of joblessness.
unfortunately,adverb,"Happening through bad luck, or because of some unfortunate event."
unfortunately,adverb,"Used (as a parenthetical word) to express disappointment, compassion, sorrow, regret or grief."
unnecessary,adjective,Not needed or necessary.
unnecessary,adjective,Done in addition to requirements; unrequired.
upcoming,noun,The act of coming up.
upcoming,noun,Comeuppance; deserts
upcoming,adjective,Happening or appearing in the relatively near future.
update,noun,An advisement providing more up-to-date information than currently known.
update,noun,"A change in information, a modification of existing or known data."
update,noun,An additional piece of information. An addition to existing information.
update,noun,"A modification of something to a more recent, up-to-date version; (in software) a minor upgrade."
update,noun,A version of something which is newer than other versions.
update,verb,To bring (a thing) up to date.
update,verb,To bring (a person) up to date: to inform (a person) about recent developments.
upgrade,noun,An upward grade or slope.
upgrade,noun,"An improved component or replacement item, usually applied to technology"
upgrade,noun,An improvement
upgrade,verb,"To improve, usually applied to technology, generally by complete replacement of one or more components"
upgrade,verb,To replace with something better.
upgrade,verb,To improve the equipment or furnishings of or services rendered to
upgrade,verb,To improve in condition or status.
upgrade,verb,"To replace a program with a later version of itself, a version having a higher version number or marketed under a more recent product name."
upgrade,adverb,Up a slope or grade.
usually,adverb,"Most of the time; less than always, but more than occasionally."
usually,adverb,Under normal conditions.
vet,noun,A veterinarian or veterinary surgeon.
vet,noun,A veteran (a former soldier or other member of an armed forces).
vet,verb,To thoroughly check or investigate particularly with regard to providing formal approval.
video,noun,"Television, television show, movie."
video,noun,"A short film clip, with or without audio (as in a music video, or one of the plethora of user-generated short movies on sites such as YouTube)."
video,noun,Motion picture stored on VHS or some other format.
video,noun,VHS.
video,verb,"To record using a video camera, to videotape"
video,verb,To record a television program
viewpoint,noun,"The position from which something is observed or considered; an angle, outlook or point of view."
vitamin,noun,"Any of a specific group of organic compounds essential in small quantities for healthy human growth, metabolism, development, and body function; found in minute amounts in plant and animal foods or sometimes produced synthetically; deficiencies of specific vitamins produce specific disorders."
website,noun,A collection of interlinked web pages on the World Wide Web that are typically accessible from the same base URL and reside on the same server.
weekend,noun,"The break in the working week, usually two days including the traditional holy or sabbath day. Thus in western countries, Saturday and Sunday."
weekend,verb,To spend the weekend.
weekend,adjective,"Of, relating to or for the weekend."
weekend,adjective,Occurring at the weekend.
wildlife,noun,"Animals, plants, and fungi, not normally domesticated, often to the exclusion of plants, fungi, fish, insects and other invertebrates, and microscopic plants and animals; hence:"
wildlife,noun,Members of a college fraternity
workforce,noun,"All the workers employed by a specific organization or state, or on a specific project"
workforce,noun,The total population of a country or region that is employed or employable.
workout,noun,An exercise session; a period of physical exercise.
workout,noun,"A schedule or program of specific exercises, especially one intended to achieve a particular goal."
workout,noun,"(by extension) Any activity that requires much physical or mental effort, or produces strain."
workplace,noun,The place where someone works.
worldwide,adjective,Spanning the world; global.
worldwide,adverb,Throughout the world.
wow,noun,"Anything exceptionally surprising, unbelievable, outstanding, etc."
wow,verb,To amaze or awe.
wow,interjection,"An indication of excitement, surprise, astonishment, or pleasure."
wow,interjection,"An expression of amazement, awe, or admiration."
wow,interjection,Used sarcastically to express disapproval of something.
wow,noun,(audio) A relatively slow form of flutter (pitch variation) which can affect both gramophone records and tape recorders.
yeah,interjection,"Expressing joy, celebration, glee, etc."
yeah,noun,"A solar year, the time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference)."
yeah,noun,"(by extension) The time it takes for any astronomical object (such as a planet, dwarf planet, small Solar System body, or comet) in direct orbit around a star (such as the Sun) to make one revolution around the star."
yeah,noun,"A period between set dates that mark a year, from January 1 to December 31 by the Gregorian calendar, from Tishiri 1 to Elul 29 by the Jewish calendar, and from Muharram 1 to Dhu al-Hijjah 29 or 30 by the Islamic calendar."
yeah,noun,A scheduled part of a calendar year spent in a specific activity.
yeah,noun,"A Julian year, exactly 365.25 days, represented by ""a""."
yeah,noun,A level or grade in school or college.
yeah,noun,The proportion of a creature's lifespan equivalent to one year of an average human lifespan (see also dog year).
yep,noun,Yes.
yep,adverb,Yes.
